,location,total_sqft,bath,bhk_size,price
7635,Nehru Nagar,1374.0,3.0,3,72.0
7636,Kanakpura Road,1603.0,3.0,3,113.0
7637,Kengeri,1230.0,2.0,3,52.0
7638,Other,670.0,1.0,1,50.0
7639,Sarjapur  Road,1864.0,3.0,4,105.0
7640,Hosa Road,2500.0,3.0,3,100.0
7641,Raja Rajeshwari Nagar,1625.0,2.0,3,54.0
7642,Whitefield,1186.0,2.0,2,55.0
7644,Electronic City,770.0,1.0,2,39.9
7645,Varthur,1085.0,2.0,2,45.0
7647,Other,1893.0,3.0,3,115.0
7648,Other,600.0,3.0,4,65.0
7649,Kundalahalli,1496.0,2.0,3,78.0
7650,Chandapura,1305.0,3.0,3,33.28
7651,Electronics City Phase 1,1550.0,2.0,3,82.0
7652,Marathahalli,1200.0,2.0,3,58.17
7653,Badavala Nagar,1494.0,2.0,3,94.55
7654,Electronic City Phase II,1286.0,2.0,2,69.0
7655,Other,600.0,4.0,3,100.0
7656,Hebbal,1860.0,3.0,3,95.0
7658,Haralur Road,1243.0,2.0,2,45.0
7659,Brookefield,1200.0,2.0,2,75.0
7660,Sarjapur,1044.0,2.0,2,32.0
7661,7th Phase JP Nagar,1040.0,2.0,2,41.59
7662,8th Phase JP Nagar,1125.0,2.0,2,36.94
7664,Subramanyapura,1278.0,2.0,3,59.0
7666,Other,1250.0,2.0,2,43.0
7669,Lakshminarayana Pura,1210.0,2.0,2,75.0
7670,8th Phase JP Nagar,1200.0,3.0,4,110.0
7671,Sarjapur  Road,1157.0,2.0,3,57.84
7672,Raja Rajeshwari Nagar,1185.0,2.0,2,51.15
7673,Kalena Agrahara,1450.0,3.0,3,100.0
7674,Old Madras Road,1859.0,3.0,3,121.0
7675,Rajaji Nagar,1763.0,3.0,2,262.0
7676,Attibele,900.0,1.0,2,25.0
7677,Ramamurthy Nagar,1305.0,3.0,3,60.0
7678,Other,1200.0,2.0,3,100.0
7679,Thanisandra,784.0,1.0,1,35.285
7681,Sarjapur  Road,1150.0,2.0,2,36.8
7682,Whitefield,1806.0,3.0,3,85.0
7683,Kudlu,1027.0,2.0,2,42.0
7684,Uttarahalli,1002.0,2.0,2,40.08
7685,Electronic City Phase II,1220.0,2.0,3,36.21
7686,Whitefield,1109.0,2.0,2,35.22
7687,Uttarahalli,1002.0,2.0,2,40.08
7688,Narayanapura,1308.0,2.0,2,89.04
7689,Hennur Road,1232.0,2.0,2,69.6
7690,Haralur Road,1027.0,2.0,2,44.0
7691,Kalyan nagar,1250.0,2.0,2,65.0
7693,KR Puram,960.0,4.0,4,80.0
7694,Raja Rajeshwari Nagar,1255.0,2.0,2,53.87
7695,Akshaya Nagar,1434.0,3.0,3,84.0
7696,Doddathoguru,925.0,2.0,2,30.0
7697,Jakkur,1858.0,3.0,3,123.0
7698,Other,1205.0,2.0,2,70.0
7699,Other,1500.0,3.0,3,90.0
7700,Other,1200.0,3.0,3,200.0
7701,Mysore Road,1020.0,2.0,2,48.95
7702,Thanisandra,965.0,2.0,2,56.0
7705,Battarahalli,1636.0,2.0,2,82.89
7706,Kundalahalli,1724.0,3.0,3,125.0
7707,Whitefield,1216.0,2.0,2,67.0
7708,Yelahanka,654.0,1.0,1,36.25
7710,Other,1190.0,2.0,2,41.0
7712,Budigere,1636.0,3.0,3,92.0
7713,Hennur Road,1195.0,2.0,2,73.0
7714,Nagavara,2400.0,3.0,3,251.0
7715,Other,1250.0,2.0,2,67.0
7716,Whitefield,1452.0,3.0,3,90.0
7717,Thanisandra,1546.0,3.0,3,95.0
7719,Indira Nagar,1440.0,3.0,3,275.0
7720,Other,2260.0,3.0,2,80.0
7721,Other,2700.0,3.0,4,90.0
7722,Indira Nagar,1475.0,2.0,2,171.0
7723,JP Nagar,3000.0,3.0,4,150.0
7724,Other,375.0,1.0,1,26.0
7725,Balagere,1007.0,2.0,2,66.0
7726,Kanakpura Road,0.0,1.0,1,125.0
7728,Hennur Road,1020.0,2.0,2,47.0
7729,Other,1000.0,2.0,2,150.0
7730,Other,800.0,3.0,2,59.5
7731,Other,1200.0,3.0,5,95.0
7732,Marathahalli,1125.0,2.0,2,55.0
7734,Other,909.0,2.0,3,43.0
7735,Whitefield,2850.0,5.0,4,240.0
7736,Other,1400.0,2.0,2,85.0
7737,Kadugodi,1152.0,2.0,2,61.0
7738,Subramanyapura,958.0,2.0,2,34.49
7739,Whitefield,1150.0,2.0,2,55.0
7740,Old Madras Road,2990.0,5.0,3,173.0
7741,Bellandur,1310.0,2.0,2,85.0
7742,Hosur Road,1590.0,2.0,3,126.0
7743,Green Glen Layout,1645.0,3.0,3,110.0
7744,Other,1800.0,2.0,3,100.0
7745,Thanisandra,1795.0,3.0,3,150.0
7746,8th Phase JP Nagar,1100.0,2.0,2,35.0
7747,Thanisandra,777.0,1.0,1,38.535
7748,Other,925.0,2.0,2,70.0
7749,Basavangudi,1542.14,3.0,3,120.0
7751,Thanisandra,1430.0,2.0,3,54.0
7752,Bommanahalli,1020.0,2.0,2,55.0
7753,Other,750.0,2.0,4,42.0
7754,Electronic City Phase II,1140.0,2.0,2,32.92
7755,Anekal,967.0,2.0,3,45.0
7756,Hebbal,2470.0,4.0,4,203.0
7757,Other,850.0,1.0,2,35.5
7758,Other,1100.0,2.0,2,32.0
7759,Thanisandra,1697.0,3.0,3,110.0
7760,Varthur,1250.0,2.0,2,47.0
7761,Gottigere,1120.0,2.0,2,50.0
7762,NRI Layout,1200.0,4.0,4,95.0
7765,Hebbal,1200.0,2.0,2,52.0
7766,7th Phase JP Nagar,1100.0,2.0,2,44.0
7767, Devarachikkanahalli,1417.0,2.0,3,76.0
7768,Thanisandra,1492.0,3.0,3,88.0
7769,Devanahalli,1498.0,3.0,3,79.15
7770,Other,3500.0,2.0,4,350.0
7771,Kundalahalli,1010.0,2.0,2,48.27
7772,Hennur,1255.0,2.0,2,53.5
7773,Channasandra,1050.0,2.0,2,35.0
7774,Hegde Nagar,1847.0,3.0,3,125.0
7775,Other,1200.0,2.0,2,55.0
7776,Bellandur,982.0,2.0,2,37.28
7777,Hegde Nagar,2144.6,4.0,3,145.0
7778,Kengeri,750.0,2.0,2,36.5
7779,Electronic City,919.0,2.0,2,35.0
7780,Budigere,1087.0,2.0,2,54.3
7781,Other,1480.0,3.0,3,74.0
7782,Tindlu,1180.0,2.0,2,52.0
7783,Other,2100.0,4.0,3,255.0
7784,Jigani,1221.0,3.0,3,65.0
7785,Haralur Road,1194.0,2.0,2,46.0
7786,Thanisandra,2072.0,3.0,3,122.0
7787,Whitefield,1600.0,3.0,3,69.0
7788,Sahakara Nagar,2200.0,3.0,3,98.0
7789,Rajaji Nagar,1640.0,3.0,3,220.0
7790,Kaikondrahalli,1253.0,2.0,2,81.5
7791,Hennur Road,1061.0,2.0,2,54.92
7792,Marathahalli,1950.0,3.0,3,115.0
7793,Marathahalli,1250.0,2.0,2,68.0
7794,Hennur Road,1585.0,2.0,3,80.0
7795,Kanakpura Road,1452.0,3.0,3,60.98
7796,Kammasandra,1015.0,2.0,2,37.0
7798,Marathahalli,1125.0,2.0,2,56.8
7799,Electronic City Phase II,1116.0,2.0,2,40.0
7800,Other,400.0,1.0,1,35.0
7801,Kasavanhalli,4000.0,4.0,4,325.0
7802,Hebbal,3900.0,4.0,4,410.0
7803,Old Madras Road,1300.0,2.0,2,100.0
7804,Raja Rajeshwari Nagar,1419.0,2.0,2,60.42
7805,Other,1310.0,2.0,3,55.0
7806,Thigalarapalya,2072.0,4.0,3,152.0
7807,Kaggadasapura,1240.0,2.0,2,58.58
7808,Chamrajpet,1565.0,3.0,3,98.91
7809,Budigere,1820.0,3.0,3,89.0
7810,Gubbalala,2500.0,3.0,3,88.0
7811,KR Puram,3657.0,5.0,5,310.0
7812,Hosa Road,1245.0,2.0,2,62.0
7813,GM Palaya,1315.0,3.0,3,65.0
7814,Kenchenahalli,1410.0,2.0,3,73.0
7815,Dasarahalli,1375.0,2.0,2,60.0
7816,Old Madras Road,1299.0,2.0,2,95.0
7817,Other,993.0,2.0,2,45.5
7818,Bommasandra Industrial Area,1200.0,3.0,2,45.0
7819,Other,985.0,2.0,2,156.0
7820,Other,2400.0,5.0,4,180.0
7821,Hebbal,1255.0,2.0,3,95.0
7822,Hoodi,1655.0,3.0,3,131.0
7823,Whitefield,2830.0,5.0,4,190.0
7825,Electronic City,550.0,1.0,2,15.0
7826,Other,825.0,2.0,1,40.0
7827,Begur Road,1634.0,3.0,3,111.0
7829,Banaswadi,1222.0,2.0,2,80.0
7830,Gottigere,1500.0,3.0,3,63.0
7831,Akshaya Nagar,1890.0,4.0,3,100.0
7833,Hulimavu,850.0,1.0,2,39.5
7834,Whitefield,1295.0,2.0,2,78.5
7835,Sarjapur  Road,1320.0,2.0,2,100.0
7836,ISRO Layout,950.0,3.0,4,179.0
7837,Hebbal,1200.0,4.0,4,225.0
7838,2nd Stage Nagarbhavi,3000.0,3.0,4,170.0
7839,Harlur,1197.0,2.0,2,82.0
7840,Other,1320.0,2.0,3,60.0
7841,Billekahalli,1180.0,5.0,5,98.5
7842,Whitefield,840.0,1.0,1,57.6
7843,Whitefield,640.0,1.0,1,19.83
7844,Raja Rajeshwari Nagar,1693.0,3.0,3,71.38
7845,Kodihalli,1000.0,2.0,2,62.0
7846,Babusapalaya,1305.0,2.0,2,70.0
7847,Kodichikkanahalli,450.0,1.0,1,18.0
7848,CV Raman Nagar,705.0,1.0,1,57.0
7853,Whitefield,1991.0,3.0,3,104.0
7854,Battarahalli,1779.0,3.0,3,90.0
7856,Banaswadi,870.0,2.0,2,38.0
7857,Thanisandra,1595.0,3.0,3,120.0
7858,Kanakpura Road,525.0,1.0,1,26.0
7859,Ramamurthy Nagar,945.0,5.0,4,120.0
7861,Iblur Village,2000.0,4.0,3,138.0
7862,Yelahanka,1614.0,3.0,3,93.0
7863,Gottigere,1200.0,2.0,2,40.0
7864,Electronic City Phase II,1150.0,3.0,3,46.0
7866,Sonnenahalli,1610.0,3.0,3,80.48
7867,Whitefield,1190.0,2.0,2,41.0
7868,Other,1050.0,2.0,2,50.0
7870,7th Phase JP Nagar,1460.0,2.0,3,97.0
7871,Other,3400.0,3.0,3,400.0
7872,Other,600.0,1.0,1,33.0
7873,Other,1569.0,3.0,3,70.0
7874,Other,2600.0,3.0,3,147.0
7875,Electronics City Phase 1,645.0,1.0,1,42.5
7876,Other,1200.0,3.0,4,180.0
7877,Nagarbhavi,800.0,3.0,3,95.0
7878,Mico Layout,800.0,2.0,2,80.0
7879,Marathahalli,1350.0,2.0,2,90.0
7880,BTM 2nd Stage,2780.0,4.0,3,325.0
7881,Other,1410.0,2.0,3,45.12
7882,Whitefield,1109.0,2.0,2,35.47
7884,Other,800.0,1.0,1,72.0
7885,Bannerghatta Road,1215.0,2.0,2,68.0
7887,Prithvi Layout,2273.0,4.0,3,192.0
7888,Varthur Road,1255.0,2.0,2,52.76
7889,Other,1020.0,2.0,2,49.0
7890,Other,1225.0,2.0,3,82.0
7891,Singasandra,1120.0,2.0,2,60.0
7893,Kasavanhalli,1225.0,2.0,3,69.0
7896,Sarjapur  Road,1984.0,4.0,3,145.0
7897,Old Madras Road,2425.0,3.0,3,197.0
7898,ITPL,1200.0,3.0,3,56.12
7899,Bommasandra,1127.0,2.0,2,45.0
7900,Whitefield,1655.0,3.0,3,97.0
7901,Ananth Nagar,500.0,1.0,1,14.0
7902,Varthur,1200.0,3.0,3,68.38
7903,Kaggadasapura,1000.0,2.0,2,43.0
7904,CV Raman Nagar,1225.0,2.0,2,47.88
7905,Hormavu,1350.0,2.0,2,45.0
7906,Nagarbhavi,600.0,5.0,4,95.0
7907,Sahakara Nagar,1175.0,2.0,2,49.0
7908,Other,655.0,1.0,1,27.0
7909,Hosa Road,1311.0,2.0,3,84.86
7910,Banashankari Stage VI,600.0,4.0,3,90.0
7911,CV Raman Nagar,1000.0,2.0,2,38.5
7912,Other,1196.0,2.0,2,96.0
7913,Kanakpura Road,1050.0,2.0,3,59.0
7914,Somasundara Palya,1275.0,2.0,3,52.0
7915,Other,927.0,2.0,2,50.0
7916,Varthur,1520.0,2.0,3,61.0
7917,Other,2400.0,5.0,4,395.0
7918,Hebbal,1333.0,2.0,2,104.0
7919,Other,600.0,1.0,1,18.0
7920,Abbigere,1326.0,2.0,3,34.8
7921,Sarjapur  Road,1773.5,3.0,3,85.125
7922,Koramangala,1370.0,2.0,2,125.0
7923,Koramangala,1100.0,2.0,2,85.0
7924,Haralur Road,1650.0,3.0,3,100.0
7925,Kasavanhalli,1917.0,3.0,3,132.0
7926,Other,780.0,3.0,3,75.0
7927,Billekahalli,950.0,2.0,2,58.11
7928,Other,1175.0,2.0,2,48.72
7929,8th Phase JP Nagar,1089.0,2.0,2,43.55
7930,Kalena Agrahara,1804.0,3.0,3,175.0
7931,Hoodi,1257.0,2.0,2,68.5
7932,Sarjapur,650.0,1.0,1,19.87
7933,Whitefield,1850.0,3.0,3,150.0
7934,Other,2800.0,4.0,4,200.0
7935,Vidyaranyapura,945.0,2.0,2,40.0
7936,Koramangala,1161.0,2.0,2,63.85
7937,Banashankari Stage V,1630.0,3.0,3,51.35
7938,Jalahalli,1310.0,2.0,3,60.0
7939,Other,750.0,2.0,2,28.0
7940,Whitefield,1200.0,3.0,3,67.77
7941,Other,1000.0,2.0,2,45.0
7942,Old Madras Road,4000.0,4.0,4,225.0
7943,Nagavara,1315.0,2.0,2,70.0
7944,Sahakara Nagar,1370.0,2.0,3,90.0
7945,Ulsoor,1200.0,4.0,5,150.0
7946,Bellandur,1465.0,3.0,2,90.0
7948,Electronic City,1128.0,2.0,2,64.0
7949,Padmanabhanagar,1250.0,2.0,3,70.0
7950,Hebbal,1645.0,3.0,3,117.0
7951,Horamavu Agara,1284.0,2.0,3,75.0
7952,Hebbal,2600.0,3.0,3,199.0
7953,Kodigehalli,1820.0,3.0,3,150.0
7954,Haralur Road,1580.0,3.0,3,73.0
7955,Akshaya Nagar,2650.0,3.0,3,125.0
7956,Bannerghatta Road,1215.0,2.0,2,68.0
7957,Uttarahalli,1075.0,2.0,2,40.0
7958,R.T. Nagar,1400.0,2.0,3,78.0
7959,Subramanyapura,1400.0,2.0,3,55.0
7960,Bisuvanahalli,845.0,2.0,2,30.0
7961,Hegde Nagar,2600.0,4.0,4,40.0
7963,Other,800.0,2.0,2,85.0
7964,Panathur,1199.0,2.0,2,85.0
7965,Gunjur,1175.0,2.0,2,43.48
7966,Sahakara Nagar,2400.0,3.0,3,270.0
7967,Bellandur,1767.0,3.0,3,109.0
7968,Sarjapur  Road,1800.0,3.0,4,90.0
7969,Talaghattapura,1856.0,3.0,3,135.0
7970,R.T. Nagar,1200.0,3.0,3,140.0
7971,Rajaji Nagar,1613.0,3.0,3,150.0
7973,Whitefield,1290.0,2.0,2,90.0
7974,Kasavanhalli,1375.0,2.0,2,78.0
7975,Other,985.0,2.0,2,57.0
7976,Other,1200.0,4.0,4,200.0
7977,Singasandra,1099.0,2.0,2,37.5
7978,Electronic City,605.0,1.0,1,13.31
7981,Marathahalli,1200.0,2.0,2,53.0
7982,Hulimavu,1000.0,2.0,2,45.0
7983,Electronic City,1159.0,2.0,3,38.0
7984,Sarjapur  Road,3692.0,5.0,5,340.0
7985,Other,600.0,2.0,2,80.0
7987,BTM Layout,1540.0,2.0,3,78.0
7988,Other,1503.0,2.0,3,93.0
7989,Ambedkar Nagar,1850.0,4.0,3,120.0
7990,Uttarahalli,1580.0,3.0,3,60.0
7991,Mico Layout,1190.0,2.0,2,39.25
7992,Other,1200.0,2.0,2,61.0
7994,Jakkur,850.0,1.0,2,19.9
7995,Domlur,2180.0,3.0,3,285.0
7996,Other,2500.0,2.0,3,60.0
7997,ITPL,1200.0,3.0,3,56.12
7998,Other,1500.0,2.0,3,52.0
7999,Other,1200.0,3.0,5,180.0
8000,Thanisandra,1880.0,3.0,3,120.0
8001,Padmanabhanagar,1150.0,2.0,2,45.0
8003,Bellandur,924.0,2.0,2,35.11
8006,Other,750.0,4.0,4,95.0
8007,Karuna Nagar,1962.0,3.0,3,175.0
8008,2nd Stage Nagarbhavi,1200.0,4.0,5,240.0
8009,Other,1765.0,3.0,3,77.27
8010,Attibele,1174.0,2.0,2,29.35
8011,Bannerghatta Road,1894.0,3.0,3,115.0
8012,Ramamurthy Nagar,960.0,2.0,4,138.0
8013,Sector 7 HSR Layout,1760.0,3.0,3,142.0
8014,Other,1768.0,3.0,3,95.0
8015,Kothanur,1790.0,3.0,3,97.0
8017,Whitefield,1200.0,2.0,2,45.0
8018,Kengeri,2540.0,4.0,4,160.0
8019,Mahadevpura,1137.0,2.0,2,53.4
8020,Jakkur,3181.0,3.0,4,229.0
8022,Mysore Road,1568.0,2.0,3,100.0
8024,AECS Layout,1308.0,2.0,2,60.0
8025,Other,3060.0,4.0,4,350.0
8026,Bisuvanahalli,1200.0,2.0,3,41.0
8027,Other,800.0,1.0,1,32.0
8028,Electronic City,530.0,1.0,1,13.5
8029,Bisuvanahalli,873.0,2.0,3,40.0
8031,Other,1200.0,4.0,4,235.0
8032,Subramanyapura,958.0,2.0,2,33.53
8033,Thigalarapalya,2072.0,4.0,3,160.0
8034,Talaghattapura,2273.0,3.0,3,159.0
8035,Banashankari Stage VI,600.0,3.0,3,90.0
8036,Thanisandra,760.0,1.0,1,50.0
8037,Dommasandra,1090.0,2.0,2,43.5
8038,Thigalarapalya,2072.0,4.0,3,155.0
8039,Bellandur,2666.0,3.0,3,230.0
8040,Sarjapur  Road,1550.0,2.0,3,89.0
8041,Ramagondanahalli,1251.0,2.0,2,50.0
8042,Electronic City,1070.0,2.0,2,53.0
8043,Kalena Agrahara,1200.0,2.0,2,45.0
8044,CV Raman Nagar,1435.0,2.0,3,60.0
8045,Bommasandra,1400.0,2.0,3,45.0
8046,Judicial Layout,2330.0,3.0,4,94.71
8047,Thanisandra,1200.0,2.0,2,60.0
8048,Panathur,1000.0,2.0,2,40.0
8049,Bannerghatta Road,1655.0,2.0,3,62.89
8051,Other,600.0,1.0,1,35.0
8052,Electronics City Phase 1,1175.0,2.0,2,50.0
8053,Uttarahalli,1155.0,2.0,2,40.43
8054,Magadi Road,1200.0,3.0,3,98.0
8055,Budigere,1149.0,2.0,2,65.0
8056,Jakkur,1745.0,3.0,3,98.485
8057,Choodasandra,3200.0,4.0,4,375.0
8058,Other,1010.0,2.0,2,55.0
8059,Hegde Nagar,1718.0,3.0,3,119.0
8060,Other,650.0,1.0,2,20.0
8061,Banashankari,1330.0,2.0,2,77.0
8062,Hormavu,1200.0,2.0,2,68.0
8063,Bannerghatta Road,1693.0,3.0,3,89.0
8064,Koramangala,1249.0,2.0,2,165.0
8065,Thanisandra,1800.0,4.0,3,125.0
8066,Margondanahalli,900.0,2.0,2,55.0
8067,NGR Layout,1020.0,2.0,2,46.0
8068,Amruthahalli,1700.0,3.0,3,77.0
8069,Panathur,661.0,1.0,1,40.0
8070,Bannerghatta Road,1280.0,2.0,2,60.16
8071,Other,1000.0,4.0,5,90.0
8072,Hosur Road,1170.0,2.0,2,48.0
8073,Thanisandra,933.0,2.0,1,58.0
8074,Sarjapur  Road,1150.0,2.0,2,44.0
8076,Rajaji Nagar,1380.0,3.0,3,130.0
8077,Banjara Layout,1050.0,2.0,2,64.8
8078,Other,1080.0,2.0,2,37.8
8079,Harlur,1303.0,2.0,2,90.0
8080,Raja Rajeshwari Nagar,1196.0,2.0,2,40.54
8081,Nagarbhavi,2500.0,3.0,5,180.0
8082,Sarjapur  Road,1200.0,4.0,5,95.0
8083,Bommanahalli,1250.0,3.0,3,41.0
8084,Akshaya Nagar,1419.0,2.0,3,87.0
8085,Banashankari,1200.0,2.0,2,49.0
8086,7th Phase JP Nagar,1120.0,2.0,2,65.0
8087,Electronics City Phase 1,762.5,1.0,1,45.4
8088,Electronics City Phase 1,1245.0,2.0,2,75.0
8090,Channasandra,1093.0,2.0,2,34.0
8091,Electronic City,1025.0,1.0,2,26.63
8092,Hebbal,1345.0,2.0,2,97.0
8093,Other,1500.0,2.0,2,45.0
8094,Vijayanagar,1180.0,2.0,2,86.0
8095,NGR Layout,1020.0,2.0,2,48.45
8096,Other,1800.0,3.0,3,85.0
8098,Other,2008.0,3.0,3,170.0
8099,Kothannur,1240.0,2.0,3,39.85
8100,CV Raman Nagar,1020.0,2.0,2,55.0
8101,Other,2095.0,3.0,3,142.0
8102,Gunjur,1362.0,3.0,3,62.63
8103,Yelahanka,694.0,1.0,1,30.84
8104,Vittasandra,1404.0,2.0,2,70.0
8105,Electronic City Phase II,1192.0,2.0,3,47.0
8107,Mahalakshmi Layout,1050.0,1.0,4,35.0
8108,Vittasandra,1259.0,2.0,2,67.48
8109,Kengeri,1000.0,2.0,2,34.0
8110,Rachenahalli,985.0,2.0,2,49.97
8111,Indira Nagar,850.0,1.0,1,60.0
8112,Uttarahalli,1650.0,2.0,3,50.0
8113,Rajaji Nagar,2400.0,3.0,5,320.0
8114,Sarjapur  Road,1900.0,4.0,3,180.0
8115,Ambedkar Nagar,1367.0,2.0,2,86.0
8116,Rajaji Nagar,1210.0,2.0,3,81.0
8117,Other,1190.0,2.0,2,48.6
8118,Sarjapur,1175.0,2.0,2,42.0
8119,R.T. Nagar,2800.0,4.0,4,400.0
8120,Whitefield,1140.0,2.0,2,40.0
8121,Hoskote,1095.0,2.0,2,33.6
8122,Attibele,782.0,1.0,1,19.55
8123,Gubbalala,1435.0,2.0,3,80.0
8124,Choodasandra,725.0,2.0,2,36.0
8125,Other,1600.0,2.0,3,88.0
8126,9th Phase JP Nagar,1200.0,5.0,5,160.0
8127,Hosakerehalli,3205.0,4.0,4,300.0
8128,Vishwapriya Layout,720.0,3.0,4,95.0
8129,Nehru Nagar,1674.0,3.0,3,90.0
8130,Other,860.0,4.0,4,125.0
8131,Haralur Road,1243.0,2.0,2,46.0
8132,Kanakpura Road,1703.0,3.0,3,130.0
8133,Padmanabhanagar,1350.0,3.0,3,71.55
8134,Horamavu Agara,1145.0,2.0,2,41.21
8135,Whitefield,1216.0,2.0,2,75.0
8136,7th Phase JP Nagar,1100.0,3.0,2,60.0
8137,Sarjapur  Road,2425.0,5.0,4,201.0
8138,Kothanur,2700.0,4.0,4,175.0
8139,Raja Rajeshwari Nagar,1196.0,2.0,2,40.54
8140,Kanakpura Road,1600.0,3.0,3,90.0
8141,Banashankari Stage V,1510.0,3.0,3,47.57
8142,Hosakerehalli,3033.0,4.0,4,326.0
8143,Pai Layout,780.0,2.0,2,72.0
8144,Haralur Road,1194.0,2.0,2,47.0
8145,Banashankari Stage II,1250.0,2.0,2,110.0
8146,Sarjapur  Road,1480.0,4.0,5,169.0
8147,Horamavu Agara,1250.0,4.0,4,100.0
8148,Other,1350.0,4.0,4,160.0
8149,Laggere,620.0,2.0,1,48.0
8150,Raja Rajeshwari Nagar,1630.0,3.0,3,60.65
8151,Hennur Road,1020.0,2.0,2,45.0
8152,Hosakerehalli,1410.0,2.0,3,53.58
8153,Bhoganhalli,1181.7,2.0,2,100.0
8155,Sarjapur  Road,1691.0,3.0,3,113.0
8156,KR Puram,1200.0,4.0,4,83.0
8157,Banaswadi,1200.0,2.0,2,60.0
8158,Old Airport Road,1050.0,2.0,2,50.0
8159,Kathriguppe,1300.0,3.0,3,77.99
8160,Whitefield,1356.0,2.0,2,94.84
8161,Whitefield,1338.0,2.0,2,103.0
8162,Other,500.0,1.0,1,20.0
8163,Other,1280.0,2.0,3,100.0
8164,Raja Rajeshwari Nagar,1531.0,3.0,3,51.77
8166,Anekal,620.0,1.0,2,23.5
8167,8th Phase JP Nagar,1605.0,2.0,3,65.0
8168,Thanisandra,1917.0,3.0,3,110.0
8169,Nagarbhavi,1200.0,3.0,4,340.0
8171,Sarjapur  Road,1400.0,3.0,3,55.0
8172,Thubarahalli,2625.0,3.0,3,175.0
8173,Sahakara Nagar,1100.0,2.0,2,55.0
8174,Hennur Road,2041.0,3.0,3,128.0
8175,Sarjapur  Road,2070.0,4.0,3,160.0
8176,Hebbal,1110.0,3.0,3,59.0
8177,Other,1650.0,3.0,3,110.0
8178,Ambedkar Nagar,3565.0,4.0,4,255.0
8179,Varthur Road,1033.0,2.0,3,30.47
8180,HSR Layout,1142.0,2.0,2,65.0
8181,Other,1500.0,2.0,3,75.0
8182,Electronic City Phase II,1502.0,3.0,3,50.0
8183,Other,1176.0,2.0,3,45.0
8184,Hosa Road,1063.0,2.0,2,32.8
8185,Kammanahalli,1100.0,2.0,2,60.0
8186,Other,1044.0,2.0,2,85.0
8188,6th Phase JP Nagar,1216.0,2.0,2,60.0
8189,Other,1425.0,3.0,3,55.0
8191,Hosur Road,1345.0,2.0,2,108.0
8192,Marathahalli,1248.0,2.0,2,130.0
8193,Other,1830.0,4.0,4,325.0
8194,Other,900.0,1.0,2,130.0
8195,Bellandur,3600.0,4.0,4,245.0
8196,Uttarahalli,1025.0,2.0,2,35.88
8197,Other,840.0,1.0,2,99.0
8198,Lakshminarayana Pura,3050.0,2.0,3,90.0
8199,Kadubeesanahalli,1424.0,2.0,3,75.0
8200,EPIP Zone,2500.0,3.0,3,268.0
8202,Other,1285.0,2.0,2,45.0
8203,Babusapalaya,1450.0,2.0,2,55.99
8204,Raja Rajeshwari Nagar,1160.0,2.0,2,70.0
8205,Yelahanka New Town,2700.0,3.0,3,350.0
8206,Other,2000.0,2.0,3,95.0
8207,Uttarahalli,1125.0,2.0,2,47.65
8208,Old Madras Road,3900.0,4.0,4,175.0
8209,Raja Rajeshwari Nagar,1133.0,2.0,2,38.37
8210,Arekere,1240.0,2.0,2,60.0
8211,Devanahalli,1466.0,3.0,3,77.59
8213,Ramagondanahalli,1610.0,2.0,3,115.0
8214,Sarjapur  Road,1220.0,3.0,3,56.0
8215,Kaggadasapura,1225.0,2.0,2,48.0
8216,Akshaya Nagar,1300.0,2.0,2,54.0
8217,Thanisandra,1996.0,4.0,3,123.0
8218,Other,1320.0,2.0,3,55.0
8219,Rajaji Nagar,1800.0,3.0,3,240.0
8220,Other,1835.0,3.0,3,175.0
8221,Sarjapur  Road,1435.0,3.0,3,90.0
8223,Rayasandra,1601.0,3.0,3,70.0
8224,Kadubeesanahalli,1257.0,2.0,2,93.0
8225,Iblur Village,3596.0,5.0,4,260.0
8226,Kasavanhalli,1309.0,2.0,2,95.0
8227,Yeshwanthpur,1362.0,2.0,2,100.0
8228,Whitefield,1115.0,2.0,2,55.0
8229,Whitefield,1870.0,3.0,3,90.0
8230,Other,1322.0,2.0,2,61.99
8231,Other,1450.0,2.0,3,65.0
8232,Banashankari,1185.0,2.0,2,67.0
8233,7th Phase JP Nagar,1790.0,3.0,3,120.0
8234,Whitefield,3450.0,4.0,3,208.0
8235,Rachenahalli,1050.0,2.0,2,52.5
8236,Budigere,693.0,1.0,1,27.375
8238,Devanahalli,775.0,1.0,1,39.0
8239,Hoodi,1000.0,2.0,2,48.0
8240,Thanisandra,1183.0,2.0,2,77.25
8241,Binny Pete,1282.0,3.0,3,178.0
8242,Other,425.0,1.0,1,15.0
8243,Other,820.0,2.0,2,30.0
8245,Hebbal,1200.0,2.0,2,52.0
8246,Ramagondanahalli,1151.0,2.0,2,43.6
8247,Hulimavu,1320.0,2.0,3,59.0
8248,Other,1450.0,3.0,3,68.0
8249,Poorna Pragna Layout,1270.0,2.0,3,50.79
8250,Hegde Nagar,1847.0,3.0,3,123.0
8251,Devanahalli,1020.0,2.0,1,49.87
8252,Somasundara Palya,1650.0,3.0,3,95.0
8253,Other,2380.0,4.0,4,242.0
8254,Electronic City,2400.0,2.0,3,78.0
8255,Begur Road,1160.0,2.0,2,44.0
8256,Haralur Road,2805.0,4.0,4,154.0
8257,Mysore Road,1360.0,3.0,3,47.6
8258,Brookefield,1089.0,2.0,2,49.0
